infile,threads,time_overall,time_computation,time_other
5kin.dat,1,4.198420e+00,3.575278e+00,6.231422e-01
5kin.dat,2,2.379527e+00,1.813121e+00,5.664058e-01
5kin.dat,4,1.676189e+00,8.992820e-01,7.769072e-01
5kin.dat,8,1.043975e+00,4.543049e-01,5.896702e-01
5kin.dat,16,8.193011e-01,2.316780e-01,5.876231e-01
10kin.dat,1,1.613238e+01,1.453626e+01,1.596114e+00
10kin.dat,2,9.380449e+00,7.654360e+00,1.726089e+00
10kin.dat,4,5.705085e+00,3.962278e+00,1.742807e+00
10kin.dat,8,3.633855e+00,1.919908e+00,1.713947e+00
10kin.dat,16,2.971857e+00,9.234269e-01,2.048430e+00
20kin.dat,1,6.460939e+01,5.870279e+01,5.906603e+00
20kin.dat,2,3.749161e+01,3.138247e+01,6.109140e+00
20kin.dat,4,2.538486e+01,1.926646e+01,6.118406e+00
20kin.dat,8,1.526881e+01,9.173807e+00,6.095003e+00
20kin.dat,16,9.851751e+00,3.876748e+00,5.975003e+00
40kin.dat,1,2.781210e+02,2.470924e+02,3.102858e+01
40kin.dat,2,1.479778e+02,1.226813e+02,2.529650e+01
40kin.dat,4,1.056821e+02,7.386215e+01,3.181997e+01
40kin.dat,8,7.250606e+01,4.330089e+01,2.920517e+01
40kin.dat,16,5.587280e+01,3.042546e+01,2.544733e+01
